Number of Records,Year,Marriage Rate,State,State_name
1,2000,6.5,DC,Delaware
1,2000,4.9,DE,District of Columbia
1,2000,8.9,FL,Florida
1,2000,6.8,GA,Georgia
1,2000,20.6,HI,Hawaii
1,2000,6.9,IA,Iowa
1,2000,10.8,ID,Idaho
1,2000,6.9,IL,Illinois
1,2000,7.9,IN,Indiana
1,2000,8.3,KS,Kansas
1,2000,9.8,KY,Kentucky
1,2000,9.1,LA,Louisiana
1,2000,5.8,MA,Massachusetts
1,2000,7.5,MD,Maryland
1,2000,8.8,ME,Maine
1,2000,6.7,MI,Michigan
1,2000,6.8,MN,Minnesota
1,2000,7.8,MO,Missouri
1,2000,6.9,MS,Mississippi
1,2000,7.3,MT,Montana
1,2000,8.2,NC,North Carolina
1,2000,7.2,ND,North Dakota
1,2000,7.6,NE,Nebraska
1,2000,9.4,NH,New Hampshire
1,2000,6,NJ,New Jersey
1,2000,8,NM,New Mexico
1,2000,72.2,NV,Nevada
1,2000,7.1,NY,New York
1,2000,7.8,OH,Ohio
1,2000,,OK,Oklahoma
1,2000,7.6,OR,Oregon
1,2000,6,PA,Pennsylvania
1,2000,7.6,RI,Rhode Island
1,2000,10.6,SC,South Carolina
1,2000,9.4,SD,South Dakota
1,2000,15.5,TN,Tennessee
1,2000,9.4,TX,Texas
1,2000,10.8,UT,Utah
1,2000,8.8,VA,Virginia
1,2000,10,VT,Vermont
1,2000,6.9,WA,Washington
1,2000,6.7,WI,Wisconsin
1,2000,8.7,WV,West Virginia
1,2000,10,WY,Wyoming
1,2001,8.1,AK,Alaska
1,2001,9.4,AL,Alabama
1,2001,14.3,AR,Arkansas
1,2001,7.6,AZ,Arizona
1,2001,6.5,CA,California 1
1,2001,8.2,CO,Colorado
1,2001,5.4,CT,Connecticut
1,2001,6.5,DC,Delaware
1,2001,6.2,DE,District of Columbia
1,2001,9.3,FL,Florida
1,2001,6.1,GA,Georgia
1,2001,19.6,HI,Hawaii
1,2001,7.1,IA,Iowa
1,2001,11.2,ID,Idaho
1,2001,7.2,IL,Illinois
1,2001,7.9,IN,Indiana
1,2001,7.5,KS,Kansas
1,2001,9,KY,Kentucky
1,2001,8.4,LA,Louisiana
1,2001,6.2,MA,Massachusetts
1,2001,7,MD,Maryland
1,2001,8.6,ME,Maine
1,2001,6.7,MI,Michigan
1,2001,6.6,MN,Minnesota
1,2001,7.5,MO,Missouri
1,2001,6.5,MS,Mississippi
1,2001,7.1,MT,Montana
1,2001,7.4,NC,North Carolina
1,2001,6.5,ND,North Dakota
1,2001,7.9,NE,Nebraska
1,2001,8.5,NH,New Hampshire
1,2001,6.4,NJ,New Jersey
1,2001,7.6,NM,New Mexico
1,2001,69.6,NV,Nevada
1,2001,7.6,NY,New York
1,2001,7.2,OH,Ohio
1,2001,,OK,Oklahoma
1,2001,7.5,OR,Oregon
1,2001,5.8,PA,Pennsylvania
1,2001,8.1,RI,Rhode Island
1,2001,9.9,SC,South Carolina
1,2001,8.9,SD,South Dakota
1,2001,13.5,TN,Tennessee
1,2001,9.1,TX,Texas
1,2001,10.2,UT,Utah
1,2001,8.8,VA,Virginia
1,2001,9.8,VT,Vermont
1,2001,7,WA,Washington
