Number of Records,Year,Marriage Rate,State,State_name
1,2012,5.5,PA,Pennsylvania
1,2012,6.1,RI,Rhode Island
1,2012,7.4,SC,South Carolina
1,2012,7.5,SD,South Dakota
1,2012,8.8,TN,Tennessee
1,2012,7.3,TX,Texas
1,2012,8.4,UT,Utah
1,2012,6.8,VA,Virginia
1,2012,8.2,VT,Vermont
1,2012,6.3,WA,Washington
1,2012,5.4,WI,Wisconsin
1,2012,7,WV,West Virginia
1,2012,7.6,WY,Wyoming
1,2013,7.3,AK,Alaska
1,2013,7.8,AL,Alabama
1,2013,9.8,AR,Arkansas
1,2013,5.4,AZ,Arizona
1,2013,6.5,CA,California 1
1,2013,6.5,CO,Colorado
1,2013,5,CT,Connecticut
1,2013,6.6,DC,Delaware
1,2013,10.8,DE,District of Columbia
1,2013,7,FL,Florida
1,2013,,GA,Georgia
1,2013,16.3,HI,Hawaii
1,2013,7.4,IA,Iowa
1,2013,8.2,ID,Idaho
1,2013,5.4,IL,Illinois
1,2013,6.6,IN,Indiana
1,2013,6,KS,Kansas
1,2013,7.3,KY,Kentucky
1,2013,6.4,LA,Louisiana
1,2013,5.5,MA,Massachusetts
1,2013,6.8,MD,Maryland
1,2013,8.3,ME,Maine
1,2013,5.8,MI,Michigan
1,2013,6,MN,Minnesota
1,2013,6.4,MO,Missouri
1,2013,6.7,MS,Mississippi
1,2013,7.4,MT,Montana
1,2013,6.5,NC,North Carolina
1,2013,6.3,ND,North Dakota
1,2013,6.3,NE,Nebraska
1,2013,6.9,NH,New Hampshire
1,2013,5.1,NJ,New Jersey
1,2013,7.3,NM,New Mexico
1,2013,32.3,NV,Nevada
1,2013,6.9,NY,New York
1,2013,5.7,OH,Ohio
1,2013,7.1,OK,Oklahoma
1,2013,6.3,OR,Oregon
1,2013,5.4,PA,Pennsylvania
1,2013,6.2,RI,Rhode Island
1,2013,7.1,SC,South Carolina
1,2013,7,SD,South Dakota
1,2013,8.4,TN,Tennessee
1,2013,7,TX,Texas
1,2013,7.5,UT,Utah
1,2013,6.7,VA,Virginia
1,2013,9.2,VT,Vermont
1,2013,7.1,WA,Washington
1,2013,5.2,WI,Wisconsin
1,2013,6.6,WV,West Virginia
1,2013,7.5,WY,Wyoming
1,2014,7.5,AK,Alaska
1,2014,7.8,AL,Alabama
1,2014,10.1,AR,Arkansas
1,2014,5.8,AZ,Arizona
1,2014,6.4,CA,California 1
1,2014,7.1,CO,Colorado
1,2014,5.4,CT,Connecticut
1,2014,6,DC,Delaware
1,2014,11.8,DE,District of Columbia
1,2014,7.3,FL,Florida
1,2014,,GA,Georgia
1,2014,17.7,HI,Hawaii
1,2014,6.9,IA,Iowa
1,2014,8.4,ID,Idaho
1,2014,6.2,IL,Illinois
1,2014,7.1,IN,Indiana
1,2014,6.1,KS,Kansas
1,2014,6.9,KY,Kentucky
1,2014,6.9,LA,Louisiana
1,2014,5.6,MA,Massachusetts
1,2014,6.5,MD,Maryland
1,2014,7.7,ME,Maine
1,2014,5.8,MI,Michigan
1,2014,5.9,MN,Minnesota
1,2014,6.7,MO,Missouri
1,2014,6.9,MS,Mississippi
1,2014,7.9,MT,Montana
1,2014,6.9,NC,North Carolina
1,2014,6.3,ND,North Dakota
1,2014,6.4,NE,Nebraska
1,2014,7.2,NH,New Hampshire
1,2014,5.4,NJ,New Jersey
1,2014,8.1,NM,New Mexico
1,2014,31.9,NV,Nevada
1,2014,6.7,NY,New York
1,2014,5.8,OH,Ohio
1,2014,7.1,OK,Oklahoma
1,2014,6.8,OR,Oregon
1,2014,5.8,PA,Pennsylvania
1,2014,6.7,RI,Rhode Island
1,2014,7.6,SC,South Carolina
1,2014,7.1,SD,South Dakota
1,2014,8.4,TN,Tennessee
1,2014,6.9,TX,Texas
1,2014,7.3,UT,Utah
1,2014,6.7,VA,Virginia
1,2014,8.7,VT,Vermont
1,2014,7,WA,Washington
1,2014,5.7,WI,Wisconsin
1,2014,6.7,WV,West Virginia
1,2014,7.7,WY,Wyoming
1,2015,7.4,AK,Alaska
1,2015,7.4,AL,Alabama
1,2015,10,AR,Arkansas
1,2015,5.9,AZ,Arizona
1,2015,6.2,CA,California 1
1,2015,6.8,CO,Colorado
1,2015,5.3,CT,Connecticut
1,2015,5.7,DC,Delaware
1,2015,8.2,DE,District of Columbia
1,2015,8.2,FL,Florida
1,2015,6.2,GA,Georgia
1,2015,15.9,HI,Hawaii
1,2015,6.3,IA,Iowa
1,2015,8.2,ID,Idaho
1,2015,5.9,IL,Illinois
1,2015,6.9,IN,Indiana
1,2015,5.9,KS,Kansas
1,2015,7.2,KY,Kentucky
1,2015,6.8,LA,Louisiana
1,2015,5.5,MA,Massachusetts
1,2015,6.2,MD,Maryland
1,2015,7.6,ME,Maine
1,2015,6,MI,Michigan
1,2015,5.6,MN,Minnesota
1,2015,6.8,MO,Missouri
1,2015,7,MS,Mississippi
1,2015,8,MT,Montana
1,2015,7,NC,North Carolina
1,2015,6.2,ND,North Dakota
1,2015,6.4,NE,Nebraska
1,2015,6.9,NH,New Hampshire
1,2015,5.6,NJ,New Jersey
1,2015,6.2,NM,New Mexico
1,2015,31,NV,Nevada
1,2015,7.1,NY,New York
1,2015,5.9,OH,Ohio
1,2015,7.4,OK,Oklahoma
1,2015,6.9,OR,Oregon
1,2015,5.7,PA,Pennsylvania
1,2015,6.4,RI,Rhode Island
1,2015,7.5,SC,South Carolina
1,2015,7.2,SD,South Dakota
1,2015,8.5,TN,Tennessee
1,2015,7.2,TX,Texas
1,2015,8.1,UT,Utah
1,2015,7,VA,Virginia
1,2015,8.1,VT,Vermont
1,2015,6.2,WA,Washington
1,2015,5.6,WI,Wisconsin
1,2015,6.6,WV,West Virginia
1,2015,7.3,WY,Wyoming
1,2016,7.1,AK,Alaska
1,2016,7.1,AL,Alabama
1,2016,9.9,AR,Arkansas
1,2016,5.9,AZ,Arizona
1,2016,6.5,CA,California 1
1,2016,7.4,CO,Colorado
1,2016,5.6,CT,Connecticut
1,2016,5.6,DC,Delaware
1,2016,8.1,DE,District of Columbia
1,2016,8.1,FL,Florida
1,2016,6.8,GA,Georgia
1,2016,15.6,HI,Hawaii
1,2016,6.1,IA,Iowa
1,2016,8.1,ID,Idaho
1,2016,5.8,IL,Illinois
1,2016,6.9,IN,Indiana
1,2016,6.2,KS,Kansas
1,2016,7.4,KY,Kentucky
1,2016,6.1,LA,Louisiana
1,2016,5.8,MA,Massachusetts
1,2016,6.3,MD,Maryland
1,2016,7.6,ME,Maine
1,2016,5.9,MI,Michigan
1,2016,5.6,MN,Minnesota
1,2016,6.9,MO,Missouri
1,2016,7,MS,Mississippi
1,2016,7.8,MT,Montana
1,2016,7,NC,North Carolina
1,2016,6,ND,North Dakota
1,2016,6.5,NE,Nebraska
1,2016,7,NH,New Hampshire
1,2016,5.7,NJ,New Jersey
1,2016,6.4,NM,New Mexico
1,2016,28.4,NV,Nevada
1,2016,7.5,NY,New York
1,2016,6,OH,Ohio
1,2016,6.7,OK,Oklahoma
1,2016,6.9,OR,Oregon
1,2016,5.8,PA,Pennsylvania
1,2016,6.7,RI,Rhode Island
1,2016,6.6,SC,South Carolina
1,2016,7.2,SD,South Dakota
1,2016,8.6,TN,Tennessee
1,2016,7.1,TX,Texas
1,2016,9,UT,Utah
1,2016,7,VA,Virginia
1,2016,8.3,VT,Vermont
1,2016,6.2,WA,Washington
1,2016,5.6,WI,Wisconsin
1,2016,6.4,WV,West Virginia
1,2016,7.1,WY,Wyoming
1,2017,6.9,AK,Alaska
1,2017,7,AL,Alabama
1,2017,9.5,AR,Arkansas
1,2017,5.8,AZ,Arizona
1,2017,6.3,CA,California 1
1,2017,7.3,CO,Colorado
1,2017,5.6,CT,Connecticut
1,2017,5.5,DC,Delaware
1,2017,8.2,DE,District of Columbia
1,2017,7.8,FL,Florida
1,2017,6.9,GA,Georgia
1,2017,15.3,HI,Hawaii
1,2017,6.2,IA,Iowa
1,2017,7.8,ID,Idaho
1,2017,6,IL,Illinois
1,2017,6.9,IN,Indiana
1,2017,6,KS,Kansas
1,2017,7.2,KY,Kentucky
1,2017,5.6,LA,Louisiana
1,2017,5.7,MA,Massachusetts
1,2017,6.3,MD,Maryland
1,2017,7.6,ME,Maine
1,2017,5.9,MI,Michigan
1,2017,5.6,MN,Minnesota
1,2017,6.6,MO,Missouri
1,2017,6.7,MS,Mississippi
1,2017,8,MT,Montana
1,2017,6.8,NC,North Carolina
1,2017,5.8,ND,North Dakota
1,2017,6.3,NE,Nebraska
1,2017,7,NH,New Hampshire
1,2017,5.5,NJ,New Jersey
1,2017,5.9,NM,New Mexico
1,2017,28.6,NV,Nevada
1,2017,7.3,NY,New York
1,2017,5.8,OH,Ohio
1,2017,6.8,OK,Oklahoma
1,2017,6.7,OR,Oregon
1,2017,5.7,PA,Pennsylvania
1,2017,6.8,RI,Rhode Island
1,2017,7,SC,South Carolina
1,2017,6.7,SD,South Dakota
1,2017,8.2,TN,Tennessee
1,2017,7.1,TX,Texas
1,2017,8.7,UT,Utah
1,2017,6.8,VA,Virginia
1,2017,7.9,VT,Vermont
1,2017,6.2,WA,Washington
1,2017,5.6,WI,Wisconsin
1,2017,6.3,WV,West Virginia
1,2017,7.1,WY,Wyoming
1,2018,6.7,AK,Alaska
1,2018,6.8,AL,Alabama
1,2018,8.9,AR,Arkansas
1,2018,5.5,AZ,Arizona
1,2018,6,CA,California 1
1,2018,7.6,CO,Colorado
1,2018,5.3,CT,Connecticut
1,2018,5.2,DC,Delaware
1,2018,7.8,DE,District of Columbia
1,2018,7.3,FL,Florida
1,2018,6.4,GA,Georgia
1,2018,15.3,HI,Hawaii
1,2018,5.7,IA,Iowa
1,2018,7.8,ID,Idaho
1,2018,5.5,IL,Illinois
1,2018,6.6,IN,Indiana
1,2018,5.4,KS,Kansas
1,2018,6.8,KY,Kentucky
1,2018,5.1,LA,Louisiana
1,2018,6.3,MA,Massachusetts
1,2018,5.9,MD,Maryland
1,2018,7.4,ME,Maine
1,2018,5.7,MI,Michigan
1,2018,5.3,MN,Minnesota
1,2018,6.5,MO,Missouri
1,2018,6.3,MS,Mississippi
1,2018,7.7,MT,Montana
1,2018,6.4,NC,North Carolina
1,2018,5.7,ND,North Dakota
1,2018,6,NE,Nebraska
1,2018,6.9,NH,New Hampshire
1,2018,5.4,NJ,New Jersey
1,2018,6.4,NM,New Mexico
1,2018,26.7,NV,Nevada
1,2018,7.1,NY,New York
1,2018,5.6,OH,Ohio
1,2018,6.4,OK,Oklahoma
1,2018,6.3,OR,Oregon
1,2018,5.5,PA,Pennsylvania
1,2018,6.3,RI,Rhode Island
1,2018,6.6,SC,South Carolina
1,2018,6.5,SD,South Dakota
1,2018,8,TN,Tennessee
1,2018,6.1,TX,Texas
1,2018,8.4,UT,Utah
1,2018,6.4,VA,Virginia
1,2018,7.9,VT,Vermont
1,2018,6,WA,Washington
1,2018,5.4,WI,Wisconsin
1,2018,6.1,WV,West Virginia
1,2018,7.1,WY,Wyoming
